code,link,direction,id,"Latitude,Longitude",name,routeIds
'200237',https://bustime.mta.info/m/index?q=200237,SW,MTA_200237,"40.577699, -74.102611",HYLAN BLVD/MIDLAND AV,"['MTA NYCT_S51', 'MTA NYCT_S78', 'MTA NYCT_S79+', 'MTA NYCT_S81']"
'200285',https://bustime.mta.info/m/index?q=200285,N,MTA_200285,"40.637877, -74.075915",BAY ST/VICTORY BLVD,['MTA NYCT_S78']
'200292',https://bustime.mta.info/m/index?q=200292,W,MTA_200292,"40.637834, -74.076746",VICTORY BLVD/BAY ST,['MTA NYCT_S78']
'200367',https://bustime.mta.info/m/index?q=200367,SW,MTA_200367,"40.539628, -74.148405",HYLAN BLVD/OSBORNE AV,"['MTA NYCT_S54', 'MTA NYCT_S78']"
'200479',https://bustime.mta.info/m/index?q=200479,NE,MTA_200479,"40.5356, -74.152275",HYLAN BLVD/WINCHESTER AV,"['MTA NYCT_S54', 'MTA NYCT_S78', 'MTA NYCT_S79+']"
'200480',https://bustime.mta.info/m/index?q=200480,NE,MTA_200480,"40.536515, -74.151212",HYLAN BLVD/LITTLEFIELD AV,"['MTA NYCT_S54', 'MTA NYCT_S78']"
'200652',https://bustime.mta.info/m/index?q=200652,SE,MTA_200652,"40.610378, -74.097613",CLOVE RD/MILFORD DR,"['MTA NYCT_S53', 'MTA NYCT_S78']"
'200660',https://bustime.mta.info/m/index?q=200660,E,MTA_200660,"40.598498, -74.08127",HYLAN BLVD/NORWAY AV,"['MTA NYCT_S53', 'MTA NYCT_S78', 'MTA NYCT_S79+']"
'200661',https://bustime.mta.info/m/index?q=200661,E,MTA_200661,"40.598406, -74.07912",HYLAN BLVD/LAMPORT BLVD,"['MTA NYCT_S53', 'MTA NYCT_S78']"
'200662',https://bustime.mta.info/m/index?q=200662,E,MTA_200662,"40.598016, -74.076208",HYLAN BLVD/KRAMER ST,"['MTA NYCT_S53', 'MTA NYCT_S78']"
'200663',https://bustime.mta.info/m/index?q=200663,E,MTA_200663,"40.597517, -74.073941",HYLAN BLVD/LINWOOD AV,"['MTA NYCT_S53', 'MTA NYCT_S78']"
'200664',https://bustime.mta.info/m/index?q=200664,NE,MTA_200664,"40.598439, -74.072503",HYLAN BLVD/SAND LN,"['MTA NYCT_S53', 'MTA NYCT_S78']"
'200695',https://bustime.mta.info/m/index?q=200695,N,MTA_200695,"40.598571, -74.071822",SAND LN/HYLAN BLVD,"['MTA NYCT_S52', 'MTA NYCT_S53', 'MTA NYCT_S78']"
'200696',https://bustime.mta.info/m/index?q=200696,SE,MTA_200696,"40.601531, -74.072656",HYLAN BLVD/FINGERBOARD RD,['MTA NYCT_S78']
'200697',https://bustime.mta.info/m/index?q=200697,W,MTA_200697,"40.598046, -74.075832",HYLAN BLVD/BIONIA AV,"['MTA NYCT_S53', 'MTA NYCT_S78']"
