code,name,routes,direction,link,id,"Latitude,Longitude"
200646	,CLOVE RD/BEMENT AV,"S53, SIM35",E,https://bustime.mta.info/m/index?q=200646,MTA_200646,"40.620484, -74.10979"
200713	,CLOVE RD/VICTORY BLVD,"S53, SIM30, SIM35",NW,https://bustime.mta.info/m/index?q=200713,MTA_200713,"40.616595, -74.103516"
200716	,CLOVE RD/BEMENT AV,"S53, SIM35",NW,https://bustime.mta.info/m/index?q=200716,MTA_200716,"40.620945, -74.110313"
201699	,MANOR RD/MARTLING AV,"S54, SIM35",NW,https://bustime.mta.info/m/index?q=201699,MTA_201699,"40.621293, -74.123751"
201701	,MANOR RD/CURTIS AV,"S54, SIM35",N,https://bustime.mta.info/m/index?q=201701,MTA_201701,"40.624636, -74.124678"
201730	,MANOR RD/RAVENHURST AV,"S54, SIM35",S,https://bustime.mta.info/m/index?q=201730,MTA_201730,"40.623763, -74.124792"
202978	,MANOR RD/FOREST AV,"S54, SIM35",N,https://bustime.mta.info/m/index?q=202978,MTA_202978,"40.626966, -74.125006"
203616	,MARTLING AV/MANOR RD,SIM35,E,https://bustime.mta.info/m/index?q=203616,MTA_203616,"40.621006, -74.12336"
203617	,MARTLING AV/SLOSSON AV,SIM35,E,https://bustime.mta.info/m/index?q=203617,MTA_203617,"40.621655, -74.119781"
203731	,MARTLING AV/BROOKSPOND PL,SIM35,SW,https://bustime.mta.info/m/index?q=203731,MTA_203731,"40.623918, -74.118254"
203735	,MARTLING AV/SLOSSON AV,SIM35,W,https://bustime.mta.info/m/index?q=203735,MTA_203735,"40.62178, -74.119593"
203810	,CLOVE RD/MARTLING AV,SIM35,E,https://bustime.mta.info/m/index?q=203810,MTA_203810,"40.624405, -74.116847"
803033	,WATER ST/HANOVER SQ,SIM35,NE,https://bustime.mta.info/m/index?q=803033,MTA_803033,"40.70363, -74.00954"
803071	,PEARL ST/FRANKFORT ST,SIM35,NE,https://bustime.mta.info/m/index?q=803071,MTA_803071,"40.709381, -74.001729"
100558	,E 180 ST/BOSTON RD,"BX9, BX40, BX42",NW,https://bustime.mta.info/m/index?q=100558,MTA_100558,"40.842681, -73.878252"
100559	,E 180 ST/DALY AV,"BX9, BX40, BX42",NW,https://bustime.mta.info/m/index?q=100559,MTA_100559,"40.844777, -73.881784"
100560	,E 180 ST/CROTONA PKWY,BX9,NW,https://bustime.mta.info/m/index?q=100560,MTA_100560,"40.845819, -73.883961"
100561	,SOUTHERN BLVD/BRONX PARK SOUTH,"BX9, BX19",N,https://bustime.mta.info/m/index?q=100561,MTA_100561,"40.847688, -73.883127"
100562	,SOUTHERN BLVD/E 183 ST,"BX9, BX19",N,https://bustime.mta.info/m/index?q=100562,MTA_100562,"40.851175, -73.88217"
100563	,SOUTHERN BLVD/E 187 ST,"BX9, BX19",N,https://bustime.mta.info/m/index?q=100563,MTA_100563,"40.853214, -73.881577"
100564	,SOUTHERN BLVD/E 189 ST,"BX9, BX19",N,https://bustime.mta.info/m/index?q=100564,MTA_100564,"40.856408, -73.880682"
100565	,EAST FORDHAM RD/CAMBERLENG AV,"BX9, BX12, BX17, BX22",W,https://bustime.mta.info/m/index?q=100565,MTA_100565,"40.858134, -73.882985"
100567	,EASTFORDHAM RD/BATHGATE AV,"BX9, BX12, BX17, BX22",NW,https://bustime.mta.info/m/index?q=100567,MTA_100567,"40.859851, -73.887646"
100571	,EAST KINGSBRIDGE RD/E 192 ST,"BX9, BX22",N,https://bustime.mta.info/m/index?q=100571,MTA_100571,"40.863823, -73.894194"
100576	,WEST KINGSBRIDGE RD/KINGSBRIDGE TERR,BX9,NW,https://bustime.mta.info/m/index?q=100576,MTA_100576,"40.870345, -73.904246"
100579	,W 225 ST/BROADWAY,BX9,NW,https://bustime.mta.info/m/index?q=100579,MTA_100579,"40.874486, -73.909403"
100582	,BROADWAY/W 231 ST,BX9,NE,https://bustime.mta.info/m/index?q=100582,MTA_100582,"40.878788, -73.904848"
100583	,BROADWAY/W 234 ST,BX9,NE,https://bustime.mta.info/m/index?q=100583,MTA_100583,"40.881534, -73.90279"
100585	,BROADWAY/W 238 ST,BX9,NE,https://bustime.mta.info/m/index?q=100585,MTA_100585,"40.884966, -73.900634"
100586	,BROADWAY/VAN CORTLANDT PARK SOUTH,BX9,NE,https://bustime.mta.info/m/index?q=100586,MTA_100586,"40.886376, -73.899709"
100587	,BROADWAY/W 242 ST,BX9,NE,https://bustime.mta.info/m/index?q=100587,MTA_100587,"40.889761, -73.897936"
100588	,BROADWAY/W 246 ST,"BX9, BXM3",NE,https://bustime.mta.info/m/index?q=100588,MTA_100588,"40.892052, -73.896966"
100589	,BROADWAY/W 251 ST,"BX9, BXM3",N,https://bustime.mta.info/m/index?q=100589,MTA_100589,"40.895684, -73.896637"
100590	,BROADWAY/LAKE VIEW PL,"BX9, BXM3",N,https://bustime.mta.info/m/index?q=100590,MTA_100590,"40.898497, -73.896946"
100591	,BROADWAY/W 254 ST,"BX9, BXM3",N,https://bustime.mta.info/m/index?q=100591,MTA_100591,"40.901357, -73.89667"
