code,link,direction,id,locationType,"Latitude,Longitude",name,routeIds,bus names,wheelchairBoarding
'300347',https://bustime.mta.info/m/index?q=300347,N,MTA_300347,0,"40.585898, -73.939036",NOSTRAND AV/SHORE PKWY,['MTA NYCT_B44'],['B44'],UNKNOWN
'300351',https://bustime.mta.info/m/index?q=300351,S,MTA_300351,0,"40.585035, -73.931329",KNAPP ST/SHORE PKWY,"['MTA NYCT_B4', 'MTA NYCT_B44', 'MTA NYCT_B44+']","['B4', 'B44', 'B44+']",UNKNOWN
'302414',https://bustime.mta.info/m/index?q=302414,W,MTA_302414,0,"40.680253, -73.946932",FULTON ST/NEW YORK AV,"['MTA NYCT_B25', 'MTA NYCT_B44']","['B25', 'B44']",UNKNOWN
'302415',https://bustime.mta.info/m/index?q=302415,W,MTA_302415,0,"40.680447, -73.949976",FULTON ST/NOSTRAND AV,"['MTA NYCT_B25', 'MTA NYCT_B44']","['B25', 'B44']",UNKNOWN
'302463',https://bustime.mta.info/m/index?q=302463,S,MTA_302463,0,"40.682207, -73.950024",NOSTRAND AV/HANCOCK ST,['MTA NYCT_B44'],['B44'],UNKNOWN
'302823',https://bustime.mta.info/m/index?q=302823,N,MTA_302823,0,"40.589929, -73.939713",NOSTRAND AV/AVENUE Z,"['MTA NYCT_B36', 'MTA NYCT_B44']","['B36', 'B44']",UNKNOWN
'302825',https://bustime.mta.info/m/index?q=302825,N,MTA_302825,0,"40.594243, -73.940584",NOSTRAND AV/AVENUE X,"['MTA NYCT_B36', 'MTA NYCT_B44', 'MTA NYCT_B44+']","['B36', 'B44', 'B44+']",UNKNOWN
'302826',https://bustime.mta.info/m/index?q=302826,N,MTA_302826,0,"40.595788, -73.940882",NOSTRAND AV/AVENUE W,"['MTA NYCT_B36', 'MTA NYCT_B44']","['B36', 'B44']",UNKNOWN
'302827',https://bustime.mta.info/m/index?q=302827,N,MTA_302827,0,"40.598171, -73.941333",NOSTRAND AV/AVENUE V,"['MTA NYCT_B36', 'MTA NYCT_B44']","['B36', 'B44']",UNKNOWN
'302830',https://bustime.mta.info/m/index?q=302830,S,MTA_302830,0,"40.597988, -73.941594",NOSTRAND AV/AVENUE V,['MTA NYCT_B44'],['B44'],UNKNOWN
'302831',https://bustime.mta.info/m/index?q=302831,S,MTA_302831,0,"40.596019, -73.941155",NOSTRAND AV/AVENUE W,"['MTA NYCT_B36', 'MTA NYCT_B44']","['B36', 'B44']",UNKNOWN
'302832',https://bustime.mta.info/m/index?q=302832,S,MTA_302832,0,"40.593865, -73.940669",NOSTRAND AV/AVENUE X,"['MTA NYCT_B36', 'MTA NYCT_B44', 'MTA NYCT_B44+']","['B36', 'B44', 'B44+']",UNKNOWN
'302833',https://bustime.mta.info/m/index?q=302833,S,MTA_302833,0,"40.591347, -73.940284",NOSTRAND AV/AVENUE Y,"['MTA NYCT_B36', 'MTA NYCT_B44']","['B36', 'B44']",UNKNOWN
'302834',https://bustime.mta.info/m/index?q=302834,S,MTA_302834,0,"40.589656, -73.939965",NOSTRAND AV/AVENUE Z,"['MTA NYCT_B36', 'MTA NYCT_B44']","['B36', 'B44']",UNKNOWN
'303366',https://bustime.mta.info/m/index?q=303366,N,MTA_303366,0,"40.603052, -73.942294",NOSTRAND AV/AVENUE T,['MTA NYCT_B44'],['B44'],UNKNOWN
'303367',https://bustime.mta.info/m/index?q=303367,N,MTA_303367,0,"40.605421, -73.942735",NOSTRAND AV/AVENUE S,['MTA NYCT_B44'],['B44'],UNKNOWN
'303368',https://bustime.mta.info/m/index?q=303368,N,MTA_303368,0,"40.607661, -73.943165",NOSTRAND AV/AVENUE R,['MTA NYCT_B44'],['B44'],UNKNOWN
'303369',https://bustime.mta.info/m/index?q=303369,N,MTA_303369,0,"40.608984, -73.943416",NOSTRAND AV/GERRITSEN AV,['MTA NYCT_B44'],['B44'],UNKNOWN
'303370',https://bustime.mta.info/m/index?q=303370,N,MTA_303370,0,"40.610123, -73.943561",NOSTRAND AV/QUENTIN RD,"['MTA NYCT_B44', 'MTABC_BM4']","['B44', 'BM4']",UNKNOWN
