code,link,direction,id,"Latitude,Longitude",name,routeIds
'400716',https://bustime.mta.info/m/index?q=400716,NW,MTA_400716,"40.749982, -73.98805",W 34 ST/BROADWAY,"['MTA NYCT_M34A+', 'MTA NYCT_M34+']"
'401818',https://bustime.mta.info/m/index?q=401818,SE,MTA_401818,"40.753106, -73.995857",W 34 ST/9 AV,"['MTA NYCT_M34A+', 'MTA NYCT_M34+', 'MTA NYCT_SIM23', 'MTA NYCT_SIM24']"
'401819',https://bustime.mta.info/m/index?q=401819,SE,MTA_401819,"40.751988, -73.993312",W 34 ST/8 AV,"['MTA NYCT_M34A+', 'MTA NYCT_M34+', 'MTA NYCT_SIM23', 'MTA NYCT_SIM24']"
'401821',https://bustime.mta.info/m/index?q=401821,E,MTA_401821,"40.749624, -73.987617",W 34 ST/BROADWAY,"['MTA NYCT_M34A+', 'MTA NYCT_M34+', 'MTA NYCT_SIM23', 'MTA NYCT_SIM24']"
'401822',https://bustime.mta.info/m/index?q=401822,SE,MTA_401822,"40.748192, -73.984134",E 34 ST/5 AV,"['MTABC_BM5', 'MTA NYCT_M34A+', 'MTA NYCT_M34+', 'MTA NYCT_SIM23', 'MTA NYCT_SIM24']"
'401824',https://bustime.mta.info/m/index?q=401824,SE,MTA_401824,"40.746797, -73.98089",E 34 ST/PARK AV,"['MTABC_BM5', 'MTA NYCT_M34A+', 'MTA NYCT_M34+']"
'401826',https://bustime.mta.info/m/index?q=401826,SE,MTA_401826,"40.745446, -73.977711",E 34 ST/3 AV,"['MTABC_BM5', 'MTA NYCT_M34A+', 'MTA NYCT_M34+']"
'401827',https://bustime.mta.info/m/index?q=401827,SE,MTA_401827,"40.744771, -73.976091",E 34 ST/2 AV,"['MTABC_BM5', 'MTA NYCT_M34A+', 'MTA NYCT_M34+']"
'401832',https://bustime.mta.info/m/index?q=401832,SE,MTA_401832,"40.737663, -73.980554",E 23 ST/2 AV,"['MTA NYCT_M9', 'MTA NYCT_M23+', 'MTA NYCT_M34A+', 'MTA NYCT_M34+']"
'401833',https://bustime.mta.info/m/index?q=401833,SE,MTA_401833,"40.736691, -73.978245",E 23 ST/1 AV,"['MTA NYCT_M23+', 'MTA NYCT_M34A+', 'MTA NYCT_M34+', 'MTA NYCT_SIM3', 'MTA NYCT_SIM6', 'MTA NYCT_SIM10', 'MTA NYCT_SIM11', 'MTA NYCT_SIM31']"
'401840',https://bustime.mta.info/m/index?q=401840,NW,MTA_401840,"40.745998, -73.978634",E 34 ST/3 AV,"['MTABC_BM5', 'MTA NYCT_M34A+', 'MTA NYCT_M34+', 'MTABC_QM1', 'MTABC_QM2', 'MTABC_QM3', 'MTABC_QM4', 'MTABC_QM5', 'MTABC_QM6', 'MTABC_QM10', 'MTABC_QM12', 'MTABC_QM20', 'MTABC_QM24', 'MTA NYCT_X68']"
'401842',https://bustime.mta.info/m/index?q=401842,NW,MTA_401842,"40.747234, -73.981547",E 34 ST/PARK AV,"['MTA NYCT_M34A+', 'MTA NYCT_M34+', 'MTA NYCT_X68']"
'401847',https://bustime.mta.info/m/index?q=401847,NW,MTA_401847,"40.75125, -73.991027",W 34 ST/7 AV,"['MTA NYCT_M34A+', 'MTA NYCT_M34+', 'MTA NYCT_SIM23', 'MTA NYCT_SIM24']"
'401848',https://bustime.mta.info/m/index?q=401848,NW,MTA_401848,"40.752301, -73.993588",W 34 ST/8 AV,['MTA NYCT_M34+']
'401857',https://bustime.mta.info/m/index?q=401857,NE,MTA_401857,"40.738058, -73.973463",WATERSIDE PLAZA/WATERSIDE 1,"['MTA NYCT_M34A+', 'MTA NYCT_M34+']"
'401858',https://bustime.mta.info/m/index?q=401858,N,MTA_401858,"40.739144, -73.972885",WATERSIDE PLAZA/WATERSIDE 2,"['MTA NYCT_M34A+', 'MTA NYCT_M34+']"
'402052',https://bustime.mta.info/m/index?q=402052,SE,MTA_402052,"40.7355, -73.975374",E 23 ST/AV C,"['MTA NYCT_M34A+', 'MTA NYCT_M34+']"
'403191',https://bustime.mta.info/m/index?q=403191,SE,MTA_403191,"40.755718, -74.001906",W 34 ST/11 AV,['MTA NYCT_M34+']
'403192',https://bustime.mta.info/m/index?q=403192,SE,MTA_403192,"40.75433, -73.998776",W 34 ST/10 AV,['MTA NYCT_M34+']
'403216',https://bustime.mta.info/m/index?q=403216,NW,MTA_403216,"40.74504, -73.976264",E 34 ST/2 AV,"['MTA NYCT_M34A+', 'MTA NYCT_M34+']"
'403359',https://bustime.mta.info/m/index?q=403359,NW,MTA_403359,"40.744007, -73.97394",E 34 ST/1 AV,"['MTA NYCT_M34A+', 'MTA NYCT_M34+']"
'403519',https://bustime.mta.info/m/index?q=403519,W,MTA_403519,"40.75408, -73.997736",W 34 ST/DYER AV,['MTA NYCT_M34+']
'403528',https://bustime.mta.info/m/index?q=403528,NW,MTA_403528,"40.753361, -73.996044",W 34 ST/9 AV,"['MTA NYCT_M34+', 'MTA NYCT_SIM23', 'MTA NYCT_SIM24']"
'403816',https://bustime.mta.info/m/index?q=403816,SW,MTA_403816,"40.755664, -74.002167",11 AV/W 34 ST,['MTA NYCT_M34+']
'404820',https://bustime.mta.info/m/index?q=404820,SE,MTA_404820,"40.751116, -73.991115",W 34 ST/7 AV,"['MTA NYCT_M34A+', 'MTA NYCT_M34+']"
'404950',https://bustime.mta.info/m/index?q=404950,SE,MTA_404950,"40.743774, -73.973731",E 34 ST /1 AV,['MTA NYCT_M34+']
'404951',https://bustime.mta.info/m/index?q=404951,SW,MTA_404951,"40.743486, -73.971891",FERRY TERMINAL/FDR DR,['MTA NYCT_M34+']
'405336',https://bustime.mta.info/m/index?q=405336,SW,MTA_405336,"40.741114, -73.978641",2 AV/E 28 ST,"['MTA NYCT_M15', 'MTA NYCT_M34A+', 'MTA NYCT_M34+']"
'405375',https://bustime.mta.info/m/index?q=405375,NW,MTA_405375,"40.748399, -73.98435",E 34 ST/5 AV,"['MTA NYCT_M34A+', 'MTA NYCT_M34+']"
'803079',https://bustime.mta.info/m/index?q=803079,NW,MTA_803079,"40.755366, -74.000858",W 34 ST/HUDSON BLVD E,['MTA NYCT_M34+']
'803130',https://bustime.mta.info/m/index?q=803130,SE,MTA_803130,"40.75667, -74.00431",W 34 ST/12 AV,['MTA NYCT_M34+']
'803131',https://bustime.mta.info/m/index?q=803131,SE,MTA_803131,"40.756534, -74.003941",W 34 ST/12 AV,['MTA NYCT_M34+']
'903027',https://bustime.mta.info/m/index?q=903027,NE,MTA_903027,"40.737552, -73.973846",WATERSIDE/WATERSIDE,"['MTA NYCT_M34A+', 'MTA NYCT_M34+']"
'903028',https://bustime.mta.info/m/index?q=903028,NE,MTA_903028,"40.743306, -73.971943",FERRY TERMINAL/FDR DR,['MTA NYCT_M34+']
'103934',https://bustime.mta.info/m/index?q=103934,SW,MTA_103934,"40.880279, -73.884125",JEROME AV/EAST MOSHOLU PKWY NORTH,"['MTA NYCT_BX10', 'MTA NYCT_D90']"
'902204',https://bustime.mta.info/m/index?q=902204,N,MTA_902204,"40.874807, -73.879337",BAINBRIDGE AV/E 206 ST,['MTA NYCT_D90']
'902205',https://bustime.mta.info/m/index?q=902205,SW,MTA_902205,"40.880095, -73.884308",JEROME AV/MOSHOLU PKWY NORTH,['MTA NYCT_D90']
'902206',https://bustime.mta.info/m/index?q=902206,N,MTA_902206,"40.874102, -73.879258",BAINBRIDGE AV/E 206 ST,['MTA NYCT_D90']
'302368',https://bustime.mta.info/m/index?q=302368,SE,MTA_302368,"40.687146, -73.97669",FULTON ST/LAFAYETTE AV,"['MTA NYCT_B25', 'MTA NYCT_B26', 'MTA NYCT_B52']"
'302369',https://bustime.mta.info/m/index?q=302369,E,MTA_302369,"40.686059, -73.974034",FULTON ST/SOUTH PORTLAND AV,"['MTA NYCT_B25', 'MTA NYCT_B26', 'MTA NYCT_B52']"
'302427',https://bustime.mta.info/m/index?q=302427,W,MTA_302427,"40.686724, -73.975391",FULTON ST/SOUTH ELLIOT PL,"['MTA NYCT_B25', 'MTA NYCT_B26', 'MTA NYCT_B52']"
'302428',https://bustime.mta.info/m/index?q=302428,W,MTA_302428,"40.68738, -73.977028",FULTON ST/FORT GREENE PL,"['MTA NYCT_B25', 'MTA NYCT_B26', 'MTA NYCT_B52']"
'302430',https://bustime.mta.info/m/index?q=302430,W,MTA_302430,"40.688635, -73.980164",FULTON ST/HUDSON AV,"['MTA NYCT_B25', 'MTA NYCT_B26', 'MTA NYCT_B52']"
'302431',https://bustime.mta.info/m/index?q=302431,W,MTA_302431,"40.689671, -73.982815",FULTON ST/BOND ST,"['MTA NYCT_B25', 'MTA NYCT_B26', 'MTA NYCT_B52']"
'302433',https://bustime.mta.info/m/index?q=302433,W,MTA_302433,"40.691398, -73.987134",FULTON ST/JAY ST,"['MTA NYCT_B25', 'MTA NYCT_B26', 'MTA NYCT_B38', 'MTA NYCT_B52']"
'302434',https://bustime.mta.info/m/index?q=302434,NE,MTA_302434,"40.693227, -73.990683",JORALEMON ST/COURT ST,"['MTA NYCT_B26', 'MTA NYCT_B38', 'MTA NYCT_B41', 'MTA NYCT_B45', 'MTA NYCT_B52']"
'302945',https://bustime.mta.info/m/index?q=302945,E,MTA_302945,"40.69148, -73.987534",FULTON ST/SMITH ST,"['MTA NYCT_B25', 'MTA NYCT_B38', 'MTA NYCT_B52']"
'302947',https://bustime.mta.info/m/index?q=302947,SE,MTA_302947,"40.689709, -73.983099",FULTON ST/BOND ST,"['MTA NYCT_B25', 'MTA NYCT_B26', 'MTA NYCT_B38', 'MTA NYCT_B52']"
'303017',https://bustime.mta.info/m/index?q=303017,E,MTA_303017,"40.688106, -73.979087",FULTON ST/ROCKWELL PL,['MTA NYCT_B52']
'304196',https://bustime.mta.info/m/index?q=304196,SW,MTA_304196,"40.698169, -73.9136",GATES AV/IRVING AV,['MTA NYCT_B52']
'304197',https://bustime.mta.info/m/index?q=304197,SW,MTA_304197,"40.696571, -73.915192",GATES AV/KNICKERBOCKER AV,['MTA NYCT_B52']
'304198',https://bustime.mta.info/m/index?q=304198,SW,MTA_304198,"40.695173, -73.916567",GATES AV/WILSON AV,['MTA NYCT_B52']
